status,item,description,class,vendor,on_hand,on_order,committed,curr_avail,reorder_pt_netsuite,pref_stock_netsuite,qty_sold_period,daily_sales_rate,days_of_stock,days_until_reorder,suggested_order_qty
REORDER_NOW,2337231,Complete Strut,FCS,,103.0,833.0,103.0,0.0,502.0,502.0,57.0,0.934,0.0,0.0,0
REORDER_NOW,1337234R,Complete Strut,FCS,,13.0,80.0,13.0,0.0,196.0,196.0,126.0,2.066,0.0,0.0,116
REORDER_NOW,1334490L,Complete Strut,FCS,,1.0,0.0,1.0,0.0,82.0,82.0,36.0,0.59,0.0,0.0,82
REORDER_NOW,1345905R,Complete Strut,FCS,,9.0,0.0,9.0,0.0,96.0,96.0,25.0,0.41,0.0,0.0,96
REORDER_NOW,1345970L,Complete Strut,FCS,,1.0,0.0,1.0,0.0,106.0,106.0,53.0,0.869,0.0,0.0,106
REORDER_NOW,E89081L,Powered lift support,Power Lift,,1.0,0.0,1.0,0.0,9.0,9.0,5.0,0.082,0.0,0.0,9
REORDER_NOW,E89025R,Powered lift support,Power Lift,,1.0,0.0,1.0,0.0,5.0,5.0,10.0,0.164,0.0,0.0,5
REORDER_NOW,E89082R,Powered lift support,Power Lift,,1.0,0.0,1.0,0.0,38.0,38.0,21.0,0.344,0.0,0.0,38
REORDER_NOW,8346849,Complete Strut,FCS,,2.0,141.0,2.0,0.0,131.0,131.0,17.0,0.279,0.0,0.0,0
REORDER_NOW,1333387,Complete Strut,FCS,,1.0,108.0,1.0,0.0,0.0,0.0,53.0,0.869,0.0,0.0,0
REORDER_NOW,1334596R,Complete Strut,FCS,,6.0,0.0,6.0,0.0,0.0,0.0,41.0,0.672,0.0,0.0,41
REORDER_NOW,1334596L,Complete Strut,FCS,,1.0,0.0,1.0,0.0,0.0,0.0,45.0,0.738,0.0,0.0,45
REORDER_NOW,Total - Inventory Item,,,,1016046.0,165486.0,47172.0,0.0,0.0,0.0,217346.0,3563.049,0.0,0.0,48297
REORDER_NOW,Total,,,,1016046.0,165486.0,47172.0,0.0,0.0,0.0,217346.0,3563.049,0.0,0.0,48297
REORDER_NOW,1337231,Complete Strut,FCS,,18.0,108.0,17.0,1.0,312.0,312.0,134.0,2.197,0.5,0.0,203
REORDER_NOW,1334303L,Complete Strut,FCS,,11.0,0.0,10.0,1.0,331.0,331.0,86.0,1.41,0.7,0.0,330
REORDER_NOW,2337073,Complete Strut,FCS,,38.0,77.0,37.0,1.0,362.0,362.0,69.0,1.131,0.9,0.0,284
REORDER_NOW,1345469L,Complete Strut,FCS,,14.0,16.0,13.0,1.0,153.0,153.0,37.0,0.607,1.6,0.0,136
REORDER_NOW,346577,Shock,BARE,,10.0,150.0,8.0,2.0,277.0,277.0,70.0,1.148,1.7,0.0,125
REORDER_NOW,1355172R,Complete Strut,FCS,,10.0,0.0,6.0,4.0,136.0,136.0,93.0,1.525,2.6,0.0,132
REORDER_NOW,3333564L,Complete Strut,FCS,,100.0,123.0,90.0,10.0,801.0,801.0,215.0,3.525,2.8,0.0,668
REORDER_NOW,2355037,Complete Strut,FCS,,11.0,0.0,7.0,4.0,239.0,239.0,75.0,1.23,3.3,0.0,235
REORDER_NOW,347037,Shock,BARE,,10.0,16.0,8.0,2.0,177.0,177.0,36.0,0.59,3.4,0.0,159
REORDER_NOW,1355038R,Complete Strut,FCS,,6.0,0.0,5.0,1.0,70.0,70.0,17.0,0.279,3.6,0.0,69
REORDER_NOW,80119L,lift support,CLIFT SUPPORT,,1.0,0.0,0.0,1.0,0.0,0.0,16.0,0.262,3.8,0.0,15
REORDER_NOW,333422R,Strut,BARE,,4.0,81.0,2.0,2.0,115.0,115.0,28.0,0.459,4.4,0.0,32
REORDER_NOW,8346715,Complete Strut,FCS,,56.0,0.0,43.0,13.0,664.0,664.0,168.0,2.754,4.7,0.0,651
REORDER_NOW,1345785R,Complete Strut,FCS,,13.0,36.0,9.0,4.0,175.0,175.0,44.0,0.721,5.5,0.0,135
REORDER_NOW,333967L,Strut,BARE,,1.0,0.0,0.0,1.0,35.0,35.0,10.0,0.164,6.1,0.0,34
REORDER_NOW,8346017,Complete Strut,FCS,,39.0,216.0,33.0,6.0,401.0,401.0,59.0,0.967,6.2,0.0,179
REORDER_NOW,334483R,Strut,BARE,,39.0,20.0,36.0,3.0,72.0,72.0,29.0,0.475,6.3,0.0,49
REORDER_NOW,8346456,Complete Strut,FCS,,13.0,0.0,7.0,6.0,130.0,130.0,57.0,0.934,6.4,0.0,124
REORDER_NOW,95036,Air Conv. Kit,Air Suspension,,6.0,0.0,5.0,1.0,37.0,37.0,9.0,0.148,6.8,0.0,36
REORDER_NOW,347394,Shock,BARE,,56.0,24.0,38.0,18.0,531.0,531.0,152.0,2.492,7.2,0.0,489
REORDER_NOW,8341570,Complete Strut,FCS,,5.0,0.0,3.0,2.0,92.0,92.0,17.0,0.279,7.2,0.0,90
REORDER_NOW,345315,Strut,BARE,,6.0,126.0,4.0,2.0,66.0,66.0,16.0,0.262,7.6,0.0,0
REORDER_NOW,333566R,Strut,BARE,,1.0,48.0,0.0,1.0,35.0,35.0,8.0,0.131,7.6,0.0,0
REORDER_NOW,2334488L,Complete Strut,FCS,,8.0,0.0,2.0,6.0,53.0,53.0,47.0,0.77,7.8,0.0,47
REORDER_NOW,1345785L,Complete Strut,FCS,,14.0,36.0,7.0,7.0,176.0,176.0,53.0,0.869,8.1,0.0,133
REORDER_NOW,1337235L,Complete Strut,FCS,,8.0,0.0,4.0,4.0,86.0,86.0,29.0,0.475,8.4,0.0,82
REORDER_NOW,3333564R,Complete Strut,FCS,,99.0,123.0,67.0,32.0,848.0,848.0,231.0,3.787,8.5,0.0,693
REORDER_NOW,1332331L,Complete Strut,FCS,,4.0,62.0,3.0,1.0,37.0,37.0,6.0,0.098,10.2,0.0,0
REORDER_NOW,1337234L,Complete Strut,FCS,,28.0,80.0,13.0,15.0,198.0,198.0,88.0,1.443,10.4,0.0,103
REORDER_NOW,8346555,Complete Strut,FCS,,42.0,150.0,33.0,9.0,267.0,267.0,52.0,0.852,10.6,0.0,108
REORDER_NOW,8346066,Complete Strut,FCS,,44.0,159.0,27.0,17.0,420.0,420.0,97.0,1.59,10.7,0.0,244
REORDER_NOW,1334054L,Complete Strut,FCS,,14.0,18.0,6.0,8.0,156.0,156.0,45.0,0.738,10.8,0.0,130
REORDER_NOW,334436R,Strut,BARE,,44.0,214.0,11.0,33.0,497.0,497.0,173.0,2.836,11.6,0.0,250
REORDER_NOW,1345378L,Complete Strut,FCS,,33.0,45.0,18.0,15.0,284.0,284.0,76.0,1.246,12.0,0.0,224
REORDER_NOW,331714R,Strut,BARE,,4.0,44.0,0.0,4.0,71.0,71.0,20.0,0.328,12.2,0.0,23
REORDER_NOW,F347300,Heavy Duty Shock Absorber,HBare,,5.0,96.0,0.0,5.0,122.0,122.0,24.0,0.393,12.7,0.0,21
REORDER_NOW,1334055L,Complete Strut,FCS,,20.0,0.0,11.0,9.0,117.0,117.0,43.0,0.705,12.8,0.0,108
REORDER_NOW,1334319R,Complete Strut,FCS,,61.0,89.0,44.0,17.0,464.0,464.0,80.0,1.311,13.0,0.0,358
REORDER_NOW,3335576,Complete Strut,FCS,,118.0,333.0,72.0,46.0,922.0,922.0,211.0,3.459,13.3,0.0,543
REORDER_NOW,2333748L,Complete Strut,FCS,,32.0,0.0,18.0,14.0,189.0,189.0,61.0,1.0,14.0,0.0,175
REORDER_NOW,8346833,Complete Strut,FCS,,8.0,0.0,1.0,7.0,135.0,135.0,30.0,0.492,14.2,0.0,128
REORDER_NOW,1337163,Complete Strut,FCS,,36.0,0.0,19.0,17.0,264.0,264.0,69.0,1.131,15.0,0.0,247
REORDER_NOW,333439L,Strut,BARE,,2.0,0.0,1.0,1.0,13.0,13.0,4.0,0.066,15.2,0.0,12
REORDER_NOW,333800R,Strut,BARE,,4.0,0.0,2.0,2.0,50.0,50.0,8.0,0.131,15.2,0.0,48
REORDER_NOW,1355051L,Complete Strut,FCS,,13.0,36.0,5.0,8.0,102.0,102.0,32.0,0.525,15.2,0.0,58
REORDER_NOW,1334319L,Complete Strut,FCS,,68.0,125.0,43.0,25.0,445.0,445.0,100.0,1.639,15.2,0.0,295
REORDER_NOW,1345906L,Complete Strut,FCS,,35.0,11.0,6.0,29.0,541.0,541.0,115.0,1.885,15.4,0.0,501
REORDER_NOW,346854,Shock,BARE,,51.0,15.0,28.0,23.0,511.0,511.0,91.0,1.492,15.4,0.0,473
REORDER_NOW,1337233R,Complete Strut,FCS,,30.0,156.0,11.0,19.0,176.0,176.0,72.0,1.18,16.1,0.0,1
REORDER_NOW,346974,Shock,BARE,,49.0,199.0,16.0,33.0,376.0,376.0,123.0,2.016,16.4,0.0,144
REORDER_NOW,1333967R,Complete Strut,FCS,,51.0,57.0,24.0,27.0,446.0,446.0,99.0,1.623,16.6,0.0,362
